scenario,source_distance_from_first_m,source_distance_from_second_m,reception_radius_m,reception_retained,crossing_angle_deg,observation,diameter_m,mec_radius_m,mec_center_x_m,mec_center_y_m,diameter_circle_covers,true_source_inside_bearing_region
14802,1136.0626162370272,658.2446466324858,1253.0107177154,True,61.05096756205617,direction,63.42145321827371,31.710726609136856,1145.1334712896726,-0.42970487426167203,True,True
14803,1155.8175849122774,671.9242906035068,1418.5786337988538,True,59.53999010752016,direction,65.43342486312905,32.716712431564524,1161.3779238503116,-0.44823581895476217,True,True
14804,1041.4292898008532,610.9283104274094,1225.128218445679,True,68.91348355842041,direction,51.68780975578022,25.84390487789011,1038.2194514394607,-0.3216157758668121,True,True
14805,721.4024993845189,589.5096219403265,1458.08248049329,True,81.06806662897624,direction,35.34686285020622,17.67343142510311,725.6054851736271,0.2151548431315291,True,True
14806,1229.6389897608515,714.1997600633309,1350.5849588063857,True,54.41430545261651,direction,71.82858376537166,35.91429188268583,1210.0033856442496,-0.5070246939040377,True,True
14807,1069.3046653289157,628.2997334676606,1323.406021342513,True,66.38934535052178,direction,55.31978190597207,27.659890952986036,1073.9145569486059,-0.35502299045832686,True,True
14808,1038.8539653115213,627.7028497656855,1106.7590234400768,True,68.72441014475388,direction,51.98225294875805,25.991126474379026,1041.218453193957,-0.3243191024600467,True,True
14809,210.3563121064,834.6367888315423,1089.4053084819236,True,42.44141233955984,direction,50.112967215700344,25.056483607850172,225.63320582978594,0.43192594082751157,True,True
14810,864.5468907028891,585.5865622975341,1261.2119074498391,True,84.88043141403489,direction,37.056749220264216,18.528374610132108,854.0949149923403,-0.19204045272165882,True,True
14811,1101.723383626999,631.1141280020992,1107.740535018241,True,63.8858479853617,direction,59.278930602897134,29.639465301448567,1109.991701918282,-0.3915183751249991,True,True
14812,1216.0490871132558,684.3679089633189,1287.4064515336063,True,55.316849014958606,direction,75.664481683917,37.8322408419585,1237.2880710782129,-0.5421899656391194,True,True
14813,362.98930789238943,733.8894232852114,1106.2521843424295,True,51.77748744642242,direction,44.183134725589966,22.091567362794983,371.6751384966307,0.36860709023977734,True,True
14814,1320.6308740526367,747.8554254234439,1446.762384196546,True,48.71296106847275,direction,90.12264960108614,45.06132480054307,1330.455103468244,-0.6740473722264575,True,True
