variant,seed,mode,length_scale_m,source_count,completed,time_per_source_s,virtual_time_s,distance_m,measures,switches,clear_failures,fallback_attempts,stations_visited,runtime_s,mean_first_discovery_s,last_first_discovery_s,containment_violations,nearby_effective_bearings
boundary,1012002,mixed,100.0,15,True,364.1289889885368,5461.934834828052,21174.674174140273,193,184,1,0,21,0.2201896000005945,802.451311,2048.179674,0,0
boundary,1012002,mixed,300.0,15,True,364.8885059926268,5473.327589889402,21191.637949447017,195,185,0,0,21,0.22768320000250242,802.6862772666667,2039.763814,0,0
boundary,1012002,mixed,900.0,15,True,365.1257550299501,5476.886325449252,21194.431627246257,195,185,1,0,21,0.22655149999991409,800.2135995333333,2034.900726,0,0
boundary,1012003,mixed,100.0,16,True,224.90908346031244,3598.545335364999,13627.726676824996,132,130,1,0,9,0.22427020000031916,741.763920375,2219.04757,0,0
boundary,1012003,mixed,300.0,16,True,226.77589934977365,3628.4143895963784,13657.071947981893,136,134,1,0,9,0.23957630000222707,744.6469774375,2240.758112,0,0
boundary,1012003,mixed,900.0,16,True,223.1816737569574,3570.9067801113183,13479.533900556586,133,130,0,0,10,0.21937350000007427,756.0865454999999,2447.588738,0,0
boundary,1012004,mixed,100.0,10,True,603.5354581083731,6035.35458108373,21191.772905418653,293,282,0,0,21,0.14771780000228318,1544.2407822,4671.45039,0,0
boundary,1012004,mixed,300.0,10,True,602.7424884368314,6027.424884368314,21152.124421841574,293,282,0,0,21,0.14788730000145733,1543.4865735,4665.278403,0,0
boundary,1012004,mixed,900.0,10,True,603.1626268146912,6031.626268146912,21173.13134073455,293,282,0,0,21,0.14416260000143666,1543.0631540000002,4668.508883,0,0
boundary,1012005,mixed,100.0,11,True,492.22833408902056,5414.511674979226,19822.558374896136,235,220,0,0,21,0.16547889999856125,380.4222011818182,2024.644213,0,0
boundary,1012005,mixed,300.0,11,True,492.1810090376837,5413.99109941452,19819.955497072617,235,220,0,0,21,0.1700012000001152,380.4135828181818,2024.549411,0,0
boundary,1012005,mixed,900.0,11,True,492.16435674625717,5413.807924208829,19819.039621044147,235,220,0,0,21,0.16721500000130618,380.45007636363636,2024.95084,0,0
boundary,1012006,mixed,100.0,12,True,461.40204455541635,5536.8245346649965,20519.122673324986,231,218,0,0,21,0.16033930000048713,845.14157125,2216.848462,0,0
boundary,1012006,mixed,300.0,12,True,461.51527676010124,5538.183321121215,20525.916605606082,231,218,0,0,21,0.16124999999738066,845.03668425,2216.401966,0,0
boundary,1012006,mixed,900.0,12,True,461.5591320419132,5538.709584502958,20528.547922514794,231,218,0,0,21,0.15722440000172355,845.1901415,2216.92166,0,0
boundary,1012007,mixed,100.0,13,True,469.1380324772889,6098.794422204755,22533.97211102378,256,247,0,0,21,0.17584749999878113,1569.8001752307691,5722.855476,0,0
boundary,1012007,mixed,300.0,13,True,468.9721677514677,6096.63818076908,22523.190903845407,256,247,0,0,21,0.17846469999858527,1569.637207,5721.761062,0,0
boundary,1012007,mixed,900.0,13,True,469.4484701499849,6102.830111949804,22524.15055974902,257,248,0,0,21,0.17679359999965527,1571.0329376923078,5731.409112,0,0
